source,target,exposure
IL,5A,20240.686
PH,5A,9457.255
MD,5A,3.803
MG,GB,37.0
IE,5A,269899.622
PG,5A,1.299
MA,5A,267.8
MH,GB,1881.0
IN,5A,106806.708
PL,5A,5137.898
MG,5A,97.329
2H,5A,202.007
IM,5A,3909.743
PK,5A,3094.952
ME,GB,91.0
IR,5A,36.902
PT,5A,868.99
MM,GB,2.0
IQ,5A,1543.752
PS,5A,33.698
MH,5A,16870.248
MN,GB,587.0
5J,BE,172860.908
5J,BE,516645.179
MK,GB,-2.0
IT,5A,45030.184
PY,5A,882.061
MM,5A,17.504
2N,5A,11772.671
IS,5A,581.343
ML,5A,0.687
ML,GB,8.0
GW,5A,30.366
NO,5A,73334.388
LI,5A,267.494
LR,GB,764.0
GT,5A,8330.932
NL,5A,76241.063
LC,5A,87.49
LT,GB,134.0
LI,GB,198.0
HN,5A,3854.686
NZ,5A,9424.177
LR,5A,16045.814
HK,5A,478922.136
NP,5A,82.442
LK,5A,10.142
LK,GB,428.0
HT,5A,461.87
PA,5A,10528.402
LU,5A,58074.701
LY,GB,261.0
HR,5A,409.312
OM,5A,1908.69
LT,5A,40.138
MA,GB,330.0
LU,GB,169407.0
ID,5A,72753.237
PF,5A,4.971
LY,5A,0.295
HU,5A,9933.264
PE,5A,6894.11
LV,5A,6.225
LV,GB,74.0
KW,GB,4027.0
KR,5A,169613.614
SG,5A,343318.815
MZ,5A,657.087
KY,GB,151906.0
KP,5A,7.81
SE,5A,73740.832
MY,5A,2615.55
KY,5A,1277882.619
SK,5A,2539.909
NC,5A,37.392
KR,GB,34272.0
5J,BE,343784.271
KW,5A,26869.022
SI,5A,1.52
2W,5A,575.017
LB,GB,164.0
LA,5A,10098.285
SM,5A,3.6
NG,5A,4839.587
2Z,5A,157534.171
LC,GB,5.0
KZ,5A,7546.232
SL,5A,2.0
NE,5A,0.155
KZ,GB,1481.0
LI,5A,6460.181
NO,5A,9167.721
LA,GB,1.0
2Z,GB,13690.0
LC,5A,372.206
SR,5A,0.04
NL,5A,43894.073
LB,5A,1921.293
SN,5A,46.4
NI,5A,296.822
JM,5A,1718.052
RO,5A,251.031
MO,5A,244.82
JM,GB,131.0
JE,5A,117019.782
QA,5A,72554.984
MN,5A,1433.219
JO,GB,708.0
IT,GB,28435.0
JP,5A,703539.198
RU,5A,2664.509
MT,5A,3305.442
2O,5A,266.39
JE,GB,87915.0
JO,5A,5366.445
RS,5A,3.654
MR,5A,0.074
KG,5A,1686.509
SA,5A,22759.422
MV,5A,538.341
2R,5A,0.02
KE,5A,8063.1
RW,5A,76.705
MU,5A,3267.352
KH,GB,5.0
JP,GB,375139.0
KN,5A,80.136
SD,5A,1.135
MX,5A,33244.475
KH,5A,17060.198
SC,5A,7.196
MW,5A,14.267
KE,GB,1023.0
DO,5A,7537.154
LY,5A,245.709
ID,5A,10971.834
IL,GB,14619.0
DM,5A,18.0
LV,5A,548.396
HU,5A,4025.448
IM,GB,6055.0
ID,GB,3967.0
EC,5A,9591.821
MD,5A,5.0
IL,5A,3077.953
IE,GB,165863.0
DZ,5A,441.303
MA,5A,781.549
IE,5A,54587.914
5J,CA,3158959.158
EG,5A,25897.874
MG,5A,6.862
IN,5A,21221.225
IR,GB,67.0
EE,5A,301.612
IM,5A,1785.741
IS,GB,294.0
ET,5A,6842.912
MK,5A,0.002
IR,5A,0.007
IN,GB,32388.0
ES,5A,73373.954
MH,5A,49.102
IQ,5A,114.946
IQ,GB,580.0
CW,5A,7375.345
LB,5A,373.63
GR,5A,4619.971
CV,5A,0.158
LA,5A,602.568
GQ,5A,0.073
HK,GB,110066.0
CU,5A,364.529
KZ,5A,2649.94
GN,5A,266.475
GR,GB,4484.0
CZ,5A,1824.138
LI,5A,5866.292
1C,CA,14472.311
GT,GB,82.0
CY,5A,3652.395
LC,5A,23.0
GT,5A,761.536
DE,5A,295486.859
LR,5A,20.248
HN,5A,383.303
LK,5A,745.266
HK,5A,31755.486
HU,GB,3765.0
DK,5A,20235.848
LU,5A,139121.604
HT,5A,88.042
HN,GB,70.0
DJ,5A,1405.579
LT,5A,104.647
HR,5A,334.274
HR,GB,82.0
GH,GB,1126.0
GG,GB,24247.0
GG,5A,80986.625
MX,5A,15471.995
KN,5A,62.287
GI,GB,748.0
GE,5A,352.395
MW,5A,18.0
KH,5A,992.498
GI,5A,2919.153
MZ,5A,115.018
KR,5A,13752.497
GE,GB,103.0
GH,5A,4292.484
MY,5A,33147.972
GN,GB,141.0
5J,CA,1499949.016
5J,DE,184584.0
GM,5A,47.916
KY,5A,179203.567
5J,DE,174141.0
5J,CA,4658963.643
GL,5A,12.226
KW,5A,4251.356
1W,5A,59.48
GL,GB,10.0
GR,5A,5750.151
NI,5A,769.945
LB,5A,456.001
GQ,5A,3.705
NG,5A,18904.661
LA,5A,39.444
2B,5A,663.788
GM,GB,7.0
GN,5A,1546.175
KZ,5A,850.711
FJ,GB,16.0
FJ,5A,22.675
MM,5A,1260.506
IT,5A,2471.521
5J,FR,123080.0
FI,5A,19864.458
ML,5A,0.938
IS,5A,543.023
ET,GB,288.0
FO,5A,0.465
MO,5A,25105.118
JM,5A,441.732
5J,DE,10443.0
FI,GB,9236.0
FM,5A,68.533
MN,5A,357.672
JE,5A,13778.774
GA,5A,750.954
MT,5A,4285.682
JP,5A,22268.478
GA,GB,34.0
FR,5A,474098.034
MR,5A,268.176
JO,5A,822.147
GD,5A,0.013
MV,5A,2.21
KG,5A,2.33
FO,GB,6.0
GB,5A,2354602.41
MU,5A,2710.3
KE,5A,630.256
FR,GB,469476.0
BJ,5A,4.036
HT,5A,345.607
DK,5A,3505.786
TT,GB,171.0
BI,5A,627.749
HR,5A,67.407
DJ,5A,1.818
TW,GB,20975.0
CA,GB,68650.0
BN,5A,1538.028
ID,5A,19561.123
DO,5A,1856.559
TN,GB,108.0
BY,GB,6.0
BM,5A,80281.51
HU,5A,2982.945
TR,GB,28102.0
BZ,GB,41.0
BQ,5A,1.228
IL,5A,12891.333
EC,5A,1724.187
UG,GB,233.0
CG,GB,3.0
AE,CA,1709.988
BO,5A,1862.113
IE,5A,61133.038
DZ,5A,23.0
US,GB,1897590.0
CH,GB,42219.0
BS,5A,58791.084
IN,5A,44927.999
EG,5A,3476.052
TZ,GB,727.0
CD,GB,50.0
BR,5A,213875.43
IM,5A,708.011
EE,5A,60.768
UA,GB,761.0
BA,5A,9.478
GN,5A,182.36
CU,5A,77.0
TC,GB,45.0
BN,GB,34.0
AZ,5A,363.768
GM,5A,5.0
TD,GB,3.0
BO,GB,247.0
AW,5A,361.169
CR,5A,1062.253
BD,5A,17104.191
GR,5A,161.257
CW,5A,1565.737
BJ,GB,77.0
BB,5A,20760.957
SZ,GB,96.0
BM,GB,8064.0
5J,FI,503666.694
BF,5A,83.529
CZ,5A,197.502
TJ,GB,9.0
BS,GB,860.0
BE,5A,62743.291
GT,5A,5651.532
CY,5A,1592.207
BH,5A,43528.331
HN,5A,1978.964
DE,5A,7183.263
TG,GB,178.0
BG,5A,193.825
HK,5A,241178.239
TH,GB,2157.0
BR,GB,23591.0
SN,GB,916.0
BD,GB,532.0
CI,5A,3310.114
SR,GB,32.0
BE,GB,11499.0
CH,5A,253616.856
KE,5A,1152.006
GB,5A,101695.295
SL,GB,10.0
BA,GB,1.0
CM,5A,3036.669
GG,5A,3083.011
SM,GB,11.0
BB,GB,235.0
CL,5A,50922.968
KH,5A,6551.924
GE,5A,45.806
SV,GB,37.0
BH,GB,2306.0
CO,5A,26983.715
KR,5A,110238.942
GI,5A,38.629
BI,GB,15.0
CN,5A,348266.756
KP,5A,7.81
GH,5A,2244.047
5J,5A,9380508.584
KY,5A,134273.569
GM,5A,7.302
BG,GB,60.0
CR,5A,6827.578
KW,5A,19146.993
GL,5A,12.171
1C,5A,124863.818
BY,5A,2257.269
IR,5A,6.79
ET,5A,383.206
SA,GB,34148.0
IQ,5A,419.131
ES,5A,4764.226
SC,GB,129.0
AO,GB,813.0
IT,5A,38919.96
FJ,5A,3.906
RU,GB,4677.0
AL,GB,5.0
BZ,5A,1486.164
IS,5A,14.144
FI,5A,1457.017
RW,GB,38.0
AM,GB,46.0
CD,5A,2167.35
JM,5A,339.257
FO,5A,0.455
SG,GB,85696.0
AU,GB,28910.0
5J,FI,109102.443
SK,GB,440.0
AZ,GB,140.0
5J,FI,612820.544
CA,5A,551388.869
JE,5A,48340.404
FM,5A,65.249
SI,GB,111.0
AW,GB,136.0
CG,5A,2997.73
JP,5A,586519.423
GA,5A,12.594
5J,TW,4143.22
SD,GB,10.0
AR,GB,369.0
CF,5A,0.038
JO,5A,1230.915
FR,5A,15448.901
SE,GB,34807.0
AT,GB,3964.0
DE,5A,251294.863
BH,5A,4205.173
PT,GB,943.0
5C,5A,1801811.784
BG,5A,89.301
PU,GB,2.0
DK,5A,12082.576
BJ,5A,3.338
PL,GB,7193.0
DJ,5A,181.607
BI,5A,3.131
PS,GB,1.0
DO,5A,2431.609
BN,5A,49.932
RO,GB,917.0
AF,GB,2.0
BM,5A,28193.005
RS,GB,772.0
EC,5A,2516.797
BQ,5A,0.016
PY,GB,123.0
AD,GB,3.0
DZ,5A,376.617
BO,5A,433.14
QA,GB,59163.0
AE,GB,33450.0
PA,GB,1841.0
CO,5A,6248.891
AU,5A,7852.104
PE,GB,879.0
CN,5A,201514.501
AT,5A,2573.483
4T,5A,3436356.859
CU,5A,1.0
BA,5A,5.625
NZ,GB,3223.0
AZ,5A,97.724
OM,GB,2867.0
CR,5A,3077.44
AW,5A,96.191
4U,5A,593342.349
CW,5A,4971.315
BD,5A,1024.617
PH,GB,3202.0
CV,5A,0.151
BB,5A,854.804
PK,GB,511.0
4Y,5A,2045080.433
CZ,5A,1426.103
BF,5A,13.431
PF,GB,1.0
4W,5A,706366.89
CY,5A,-175.129
BE,5A,5378.378
PG,GB,1.0
NE,GB,3.0
AL,5A,104.922
GA,5A,3.351
CG,5A,1444.478
NG,GB,18718.0
AI,5A,223.375
FR,5A,404631.198
CF,5A,0.038
MZ,GB,401.0
CI,5A,119.039
AM,5A,87.081
GB,5A,1252570.751
CH,5A,42576.428
NO,GB,61402.0
AR,5A,14365.426
GG,5A,58958.906
CM,5A,0.334
NP,GB,34.0
AO,5A,18539.539
GE,5A,358.943
CL,5A,21531.444
NI,GB,1.0
AU,5A,191233.146
GI,5A,2785.221
CO,5A,10567.027
NL,GB,102100.0
AT,5A,12743.944
GH,5A,410.238
CN,5A,23874.317
EG,5A,12708.768
BS,5A,3317.481
MT,GB,2350.0
EE,5A,216.968
BR,5A,52206.075
MU,GB,6208.0
MO,GB,972.0
5M,5A,56195.379
ET,5A,395.489
BY,5A,0.002
5K,5A,4819298.251
ES,5A,59366.148
MR,GB,159.0
AD,5A,490.584
FJ,5A,14.704
MX,GB,6188.0
5R,5A,14740541.083
FI,5A,12172.045
BZ,5A,501.844
MY,GB,5540.0
AF,5A,0.003
CD,5A,394.466
MV,GB,26.0
AE,5A,212043.647
CA,5A,33379.597
MW,GB,10.0
FO,5A,0.465
SO,5A,0.12
FM,5A,68.533
BW,5A,600.25
TL,5A,54.19
GA,5A,747.603
5J,FR,34562.0
FR,5A,67534.52
GD,5A,0.013
GB,5A,919314.619
GY,5A,63.162
GG,5A,21919.93
ER,5A,111.578
GE,5A,-6.565
EC,5A,7037.024
DZ,5A,63.819
EG,5A,13182.621
AG,5A,0.445
EE,5A,84.635
LS,5A,74.494
ET,5A,6447.423
ES,5A,10784.08
FJ,5A,7.971
NR,5A,24.765
FI,5A,6824.08
HK,5A,206251.052
GW,5A,30.366
HT,5A,116.263
HR,5A,337.905
HN,5A,1652.722
ID,5A,49369.667
HU,5A,6893.481
IL,5A,6948.047
IE,5A,202659.142
GI,5A,129.494
WS,5A,169.109
SB,5A,1.8
GH,5A,3882.056
ZA,5A,3.557
GM,5A,42.916
ZM,5A,7.329
MS,5A,237.591
GL,5A,12.226
ZW,5A,0.544
GQ,5A,3.705
GN,5A,1363.815
GT,5A,2638.405
GR,5A,5518.199
TT,5A,985.212
AL,FI,0.594
TR,5A,52901.07
BZ,5A,1475.556
TZ,5A,3779.829
CD,5A,2158.514
5J,NO,49737.355
AF,FI,0.433
TW,5A,82650.279
SO,5A,20.0
CA,5A,165125.682
AR,FI,0.828
UG,5A,2672.015
TL,5A,92.535
BW,5A,395.499
CG,5A,2924.527
AT,FI,14.575
5J,NL,31514.915
UA,5A,1589.526
CF,5A,0.038
UY,5A,5532.077
CI,5A,2585.494
US,5A,6914229.685
CH,5A,60177.001
TC,5A,295.736
BN,5A,1337.316
SZ,5A,303.369
BM,5A,79070.173
TG,5A,466.132
BQ,5A,1.219
TD,5A,180.433
BO,5A,1673.779
TJ,5A,678.377
BS,5A,19643.216
AD,FI,1.629
2Z,GB,13887.0
TH,5A,39734.719
AG,5A,6.064
BR,5A,80929.403
AE,FI,86.871
TN,5A,557.482
LS,5A,151.23
BY,5A,1431.291
TM,5A,133.742
SB,5A,0.018
CY,5A,3825.382
YE,5A,314.391
CW,5A,2403.873
ZW,5A,190.931
DE,5A,28003.172
ZM,5A,5324.033
ZA,5A,19397.365
CZ,5A,348.023
5J,NO,0.004
DK,5A,7000.23
TO,5A,0.256
DJ,5A,1223.972
NR,5A,2.813
DO,5A,5104.542
DM,5A,18.0
VA,5A,0.078
GY,5A,1.797
CM,5A,2930.838
UZ,5A,7733.402
CL,5A,32095.2
VE,5A,4147.019
CO,5A,19973.992
VC,5A,150.897
SB,5A,71.319
CN,5A,137260.464
VN,5A,40484.634
VG,5A,18078.93
CR,5A,3750.138
WS,5A,2029.181
CV,5A,0.007
VU,5A,20.237
CU,5A,363.524
DO,GB,512.0
PT,5A,2639.37
TN,5A,49.06
5M,5A,26189.486
RU,5A,6.464
CL,FI,2.301
PS,5A,49.066
TM,5A,0.138
5K,5A,1750057.597
RW,5A,3.166
DZ,GB,144.0
5J,CA,886632.439
PY,5A,1841.824
TT,5A,378.493
AD,5A,6.285
DK,GB,14611.0
SA,5A,56.189
PU,5A,1.0
TR,5A,9624.568
5R,5A,7685901.766
SC,5A,116.133
CH,FI,191.7
CO,FI,0.618
EG,GB,15080.0
RO,5A,744.94
TZ,5A,585.661
AF,5A,0.003
CR,FI,0.163
QA,5A,98651.928
TW,5A,3234.127
AE,5A,88048.131
ES,GB,40879.0
SE,5A,276.264
CM,FI,0.371
RU,5A,8430.801
BW,5A,30.0
UG,5A,113.094
AL,5A,48.598
EC,GB,38.0
SG,5A,2199.048
CN,FI,128.88
5J,FI,39381.655
EE,GB,20.0
RS,5A,2882.886
UA,5A,186.098
AI,5A,222.09
CW,GB,5516.0
PA,5A,42971.638
SY,5A,56.668
5J,CN,413737.932
PL,5A,31.748
BY,FI,0.286
5J,CN,413737.932
OM,5A,15788.06
SX,5A,97.0
CY,GB,1701.0
PF,5A,7.81
TC,5A,189.282
CU,GB,8.0
PT,5A,5.774
5J,CA,235557.552
5J,CA,1122190.906
PE,5A,26901.138
SZ,5A,71.448
DE,GB,438198.0
PH,5A,26895.739
TG,5A,0.189
PY,5A,1.0
CD,FI,0.068
PG,5A,793.291
TD,5A,31.409
5J,GB,4868097.0
5J,GB,-2.0
QA,5A,361.735
PL,5A,7965.925
TJ,5A,0.154
CZ,GB,2201.0
RO,5A,1.479
PK,5A,27074.492
TH,5A,2366.386
CA,FI,17.024
NZ,5A,386.713
CI,GB,1985.0
SM,5A,10.409
WS,5A,1077.471
BB,5A,2206.113
OM,5A,28.748
CM,GB,92.0
CL,GB,2536.0
SL,5A,3.577
VU,5A,14.117
BA,5A,5.643
PA,5A,6114.983
BG,FI,1.887
SR,5A,289.704
BE,5A,7919.73
CG,GB,3.0
PE,5A,89.913
BH,FI,0.839
CH,GB,206671.0
SN,5A,1569.307
YE,5A,288.26
BD,5A,12250.117
CR,GB,51.0
1C,GB,103194.0
SV,5A,3550.483
ZW,5A,162.22
BH,5A,7377.591
PF,5A,14.183
ZM,5A,764.906
BG,5A,96.237
PG,5A,8.899
BR,FI,8.773
ZA,5A,1492.033
BF,5A,82.231
5J,GB,7633008.0
SY,5A,82.836
BJ,5A,4.036
CN,GB,82756.0
5J,GB,2764913.0
PH,5A,583.196
CO,GB,1036.0
SX,5A,302.22
BI,5A,45.616
PK,5A,60.055
BY,GB,5.0
SA,5A,83430.974
UY,5A,3444.591
MZ,5A,2.507
BA,FI,0.11
BZ,GB,41.0
RW,5A,136.402
US,5A,1251419.175
AM,5A,103.798
AU,FI,28.15
SD,5A,1389.968
GY,5A,3.384
AR,5A,11032.535
BS,GB,3912.0
SC,5A,1074.903
UZ,5A,2522.437
AO,5A,18382.84
BE,FI,59.924
NG,5A,30.721
CD,GB,50.0
SG,5A,470633.273
VE,5A,821.676
AU,5A,36538.496
NL,5A,4234.797
SE,5A,88098.364
VC,5A,30.486
AT,5A,4267.857
NO,5A,5.918
SK,5A,2660.031
VN,5A,12796.726
AZ,5A,176.358
NP,5A,3.895
BD,FI,4.876
CA,GB,286578.0
SI,5A,237.506
VG,5A,10130.063
AW,5A,352.055
BJ,GB,91.0
MG,5A,271.033
TJ,5A,4.385
PL,5A,1186.522
UY,5A,16.123
GH,FI,0.791
BM,GB,8074.0
ME,5A,777.568
TH,5A,25002.193
PK,5A,921.581
UZ,5A,34.673
MK,5A,524.858
TN,5A,219.0
PT,5A,467.98
BH,GB,7209.0
BI,GB,441.0
MH,5A,26106.552
TM,5A,17.798
PS,5A,7.432
GE,FI,0.094
VC,5A,2.103
GM,FI,0.125
MM,5A,2081.361
TT,5A,90.086
PY,5A,431.758
4L,5A,5935844.149
VE,5A,3.867
ML,5A,143.276
TR,5A,31269.362
PU,5A,1.0
BR,GB,45747.0
VG,5A,233.55
GI,FI,0.028
5J,BR,16805.011
MO,5A,26266.773
TZ,5A,707.201
RO,5A,342.357
BN,GB,66.0
VN,5A,702.632
5J,BR,1162808.043
GL,FI,0.005
BO,GB,346.0
MN,5A,3987.087
TW,5A,64944.937
QA,5A,6640.25
5J,CA,227788.963
VU,5A,2.916
BA,GB,2.0
LR,5A,22412.7
SV,5A,2336.934
NZ,5A,1025.913
5J,CA,589215.258
5J,CA,817008.064
BB,GB,237.0
LK,5A,7954.172
NP,5A,51.367
TR,5A,278.884
LU,5A,361870.931
SY,5A,2.585
PA,5A,22622.199
3C,5A,45650.312
AW,GB,136.0
ET,FI,0.132
AZ,GB,145.0
LT,5A,147.418
SX,5A,134.504
OM,5A,6527.499
TW,5A,840.229
LY,5A,545.778
TC,5A,40.118
PF,5A,1.0
BF,GB,35.0
TZ,5A,0.089
LV,5A,636.062
SZ,5A,2.093
PE,5A,10239.575
BG,GB,99.0
UA,5A,0.15
GB,FI,1244.426
MD,5A,8.837
TG,5A,276.731
PH,5A,4164.181
BD,GB,2439.0
BE,GB,37586.0
MA,5A,1609.173
PG,5A,74.991
US,5A,21258.359
FR,FI,6673.57
SY,5A,0.002
DO,FI,0.12
AL,GB,41.0
NC,5A,44.934
VN,5A,11418.973
SK,5A,86.542
DZ,FI,1.747
AM,GB,80.0
VG,5A,169.334
SI,5A,91.813
NG,5A,31359.56
WS,5A,3.784
SM,5A,6.8
AF,GB,2.0
DK,FI,27070.29
NE,5A,0.177
VU,5A,0.205
SL,5A,1.04
4T,5A,1531780.843
AT,GB,7609.0
NO,5A,88542.4
ZA,5A,11744.323
4Y,5A,814947.655
EG,FI,35.993
NL,5A,160925.03
SR,5A,54.396
4W,5A,356423.149
AU,GB,74728.0
TH,5A,1848.174
ES,FI,73.863
NI,5A,1376.544
YE,5A,10.0
SN,5A,2.162
4U,5A,314759.727
NZ,5A,14724.567
ZW,5A,10.419
SV,5A,616.732
AO,GB,849.0
EC,FI,0.744
AR,GB,358.0
NP,5A,243.119
ZM,5A,44.78
5C,5A,642697.759
TM,5A,1.887
EE,FI,280.886
MT,5A,9341.62
UG,5A,140.406
RU,5A,2409.302
SK,5A,0.456
MR,5A,442.326
UA,5A,178.27
RS,5A,93.018
MV,5A,1846.964
UY,5A,741.078
SA,5A,14996.161
CU,FI,0.038
MU,5A,18688.833
US,5A,2506112.407
RW,5A,12.198
SN,5A,2.552
MX,5A,76731.3
VA,5A,0.001
SD,5A,1.489
AD,GB,8.0
DE,FI,702.115
MW,5A,72.467
UZ,5A,3796.564
SC,5A,473.645
AE,GB,80097.0
CY,FI,3.013
MZ,5A,1727.874
VE,5A,796.369
SG,5A,41153.761
SX,5A,2.572
CZ,FI,7.775
MY,5A,44879.43
SE,5A,5051.685
KR,FI,9.973
WS,5A,704.681
CV,5A,22.664
VE,5A,2463.341
VC,5A,150.897
VU,5A,170.713
CU,5A,183.773
VN,5A,29004.955
VN,5A,3515.995
VG,5A,17162.533
VG,5A,1737.336
CR,5A,1066.636
LA,FI,0.207
ZM,5A,818.835
WS,5A,2024.777
LB,FI,0.014
ZA,5A,6252.923
CZ,5A,1098.494
5J,5A,1695164.975
VU,5A,20.032
CY,5A,252.445
KZ,FI,2.232
YE,5A,63.682
CW,5A,45.412
YE,5A,304.391
TZ,5A,3071.482
UY,5A,506.895
CI,5A,918.414
TW,5A,15966.446
US,5A,145941.15
CH,5A,5199.196
JO,FI,0.348
UG,5A,2531.609
IT,FI,21.489
UG,5A,667.038
TL,5A,0.002
BW,5A,1.057
CG,5A,136.78
UA,5A,1411.256
UA,5A,11.117
CF,5A,1.433
UY,5A,4779.754
VE,5A,1523.199
CO,5A,2419.751
US,5A,4263692.541
KH,FI,0.191
VC,5A,6.343
SB,5A,0.523
CN,5A,95499.268
VA,5A,0.077
JP,FI,13.795
VA,5A,0.813
GY,5A,2.724
CM,5A,650.471
UZ,5A,3934.698
KE,FI,4.203
UZ,5A,1496.317
CL,5A,7472.808
IL,FI,2.527
FJ,5A,152.08
LS,5A,20.001
ET,5A,392.147
FI,5A,558.973
HU,FI,2.444
KM,5A,0.001
ES,5A,339.082
ID,FI,1.439
EG,5A,10322.463
IE,FI,468.29
5J,BR,1146003.029
IR,FI,2.734
BW,5A,113.446
GA,5A,205.563
IS,FI,3.018
FR,5A,3275.899
IN,FI,20.979
FO,5A,988.924
IQ,FI,0.596
SO,5A,0.001
FM,5A,0.079
DM,5A,20.414
ZM,5A,5277.986
DK,5A,31603.647
ZA,5A,7469.608
TO,5A,0.495
DJ,5A,51.188
GR,FI,2.033
ZW,5A,18.222
DE,5A,4357.242
ZW,5A,180.512
HR,FI,0.129
AG,5A,0.01
EE,5A,6.745
EC,5A,394.876
HK,FI,14.419
DZ,5A,195.077
HN,FI,0.013
DO,5A,754.913
5J,GB,2770731.0
GT,5A,1.686
5J,GB,5669686.0
5J,GB,2898953.0
SD,5A,1388.833
NE,FI,0.518
GR,5A,139.961
SC,5A,1065.73
MZ,FI,0.027
SG,5A,123588.857
GQ,5A,1.05
SE,5A,13071.567
GN,5A,77.902
NL,FI,280.58
HR,5A,7.777
SK,5A,97.12
NO,FI,29504.253
HN,5A,33.182
SI,5A,230.986
NG,FI,0.62
HK,5A,114979.818
SM,5A,6.809
GW,5A,24.382
SL,5A,1.577
PY,5A,958.488
MT,FI,1.434
GY,5A,288.045
GG,5A,21900.719
PU,5A,1.0
MU,FI,0.215
ER,5A,131.046
GE,5A,5.055
RO,5A,486.836
GD,5A,58.897
QA,5A,25886.592
GB,5A,38399.796
RU,5A,5765.064
MX,FI,3.146
GM,5A,28.747
RS,5A,2855.232
MY,FI,2.152
GL,5A,904.622
SA,5A,60368.341
MV,FI,0.532
GI,5A,3.286
RW,5A,59.697
SB,5A,0.005
GH,5A,269.852
TG,5A,189.401
SS,5A,158.226
JM,5A,667.071
TD,5A,180.433
SO,5A,0.679
JE,5A,1626.308
TJ,5A,673.992
MA,FI,3.054
NR,5A,0.736
IS,5A,44.317
IT,5A,468.957
TH,5A,13469.673
LS,5A,217.793
IR,5A,23.301
TN,5A,338.482
WF,5A,0.27
KG,5A,98.256
TM,5A,115.944
MN,FI,0.074
KE,5A,1167.124
TT,5A,894.155
MK,FI,0.062
TL,5A,3.009
JP,5A,-5084.88
TR,5A,21577.36
ML,FI,0.11
JO,5A,438.072
LK,FI,0.221
IE,5A,24037.702
SR,5A,289.664
ID,5A,11616.22
SN,5A,1505.907
HU,5A,604.237
HT,5A,0.6
LV,FI,50.328
KM,5A,93.855
IQ,5A,25.419
SX,5A,167.716
FK,5A,0.003
IN,5A,6025.019
SV,5A,1213.549
TC,5A,255.618
LT,FI,62.398
AG,5A,1.187
IM,5A,216.625
SZ,5A,301.276
LU,FI,1365.998
IL,5A,1122.65
SY,5A,80.251
MV,5A,1844.754
MZ,5A,792.033
VE,5A,1497.827
SG,5A,2349.577
SN,FI,0.564
BD,FI,3.065
MU,5A,15437.886
MY,5A,22642.373
SE,5A,24366.571
SK,FI,37.835
MX,5A,59611.312
MX,5A,16255.856
SD,5A,0.025
BA,FI,0.11
MW,5A,54.467
MW,5A,214.504
UZ,5A,720.605
SC,5A,18.787
BG,FI,1.189
NG,5A,1478.853
WS,5A,0.254
MZ,5A,1612.856
NE,5A,174.97
VU,5A,15.644
SL,5A,0.001
4T,5A,435983.692
BH,FI,0.073
MY,5A,10048.73
SR,FI,0.173
BE,FI,47.117
NC,5A,17.414
VN,5A,928.479
SK,5A,163.16
NC,5A,44.934
MS,5A,237.591
VG,5A,1.0
SI,5A,0.007
MK,5A,524.856
MO,5A,38570.312
TZ,5A,106.41
RO,5A,407.428
SA,FI,9.723
MH,5A,26016.94
MN,5A,149.347
TW,5A,19178.407
QA,5A,3.467
MM,5A,819.855
MM,5A,653.68
TT,5A,2155.604
PY,5A,0.004
4L,5A,317278.671
RU,FI,20.101
AL,FI,0.594
ML,5A,142.338
ML,5A,283.029
TR,5A,3456.958
MO,5A,980.487
SG,FI,27.267
AU,FI,13.583
MV,5A,279.835
UY,5A,9.82
SA,5A,406.414
SI,FI,1.551
MN,5A,3628.412
MU,5A,1073.18
US,5A,61477.058
RW,5A,0.019
MT,5A,4848.651
SD,FI,1.345
AR,FI,0.828
MT,5A,1141.61
UG,5A,47.775
RU,5A,39.973
MR,5A,174.15
MR,5A,168.494
UA,5A,0.997
RS,5A,0.034
SE,FI,29439.877
AT,FI,14.379
PF,5A,2.839
PK,5A,5334.964
TH,5A,96.773
PE,5A,19659.874
PH,5A,2637.34
TG,5A,0.009
PA,5A,32355.301
PH,5A,16161.606
PG,5A,678.481
PL,FI,52.046
PG,5A,785.239
PF,5A,8.582
TC,5A,0.001
PL,5A,2761.242
RO,FI,2.471
AF,FI,0.433
PY,5A,13.05
TT,5A,2.019
AD,5A,6.917
PK,5A,23967.917
TR,5A,1713.42
5R,5A,525688.189
RS,FI,0.857
PT,5A,1610.976
AD,FI,1.629
PT,5A,251.151
TN,5A,0.149
5M,5A,13679.995
PS,5A,15.368
PL,5A,19961.514
QA,FI,5.989
AE,FI,83.709
PS,5A,2.715
5K,5A,208398.577
NP,5A,310.249
ZM,5A,44.613
5C,5A,58033.774
OM,FI,1.456
NG,5A,12452.899
NO,5A,98045.609
ZA,5A,3227.04
4Y,5A,307130.605
PA,FI,1.375
NE,5A,0.177
NL,5A,11456.609
SR,5A,0.027
4W,5A,50019.554
NP,FI,4.693
NL,5A,81047.318
NI,5A,-0.218
YE,5A,1.056
SN,5A,1.682
4U,5A,59253.856
5J,GB,7802972.0
NZ,FI,4.267
NI,5A,606.599
5J,GB,2.0
PE,5A,5532.054
SZ,5A,36.0
NP,5A,160.677
PH,FI,2.08
PA,5A,1280.345
SY,5A,0.004
PK,FI,1.713
NO,5A,13435.882
PE,FI,0.489
OM,5A,896.189
SX,5A,-0.998
OM,5A,13836.732
NZ,5A,27206.532
ZW,5A,4.0
SV,5A,0.001
NZ,5A,5011.678
CY,FI,3.013
TL,5A,146.725
JP,5A,93966.632
SK,5A,1985.963
